task,owner,due_date,status,notes
Create official links doc,,Day 0,pending,
Create Telegram group/channel,,Day 0,pending,
Create Discord server,,Day 0,pending,
Create X account/profile,,Day 0,pending,
Write pinned intro post,,Day 1,pending,
Setup anti-scam/mod bots,,Day 1,pending,
Prepare 10 meme assets,,Day 1,pending,
Prepare 5 education posts,,Day 1,pending,
Build 50 KOL shortlist,,Day 2,pending,
Generate UTM links,,Day 2,pending,
Start KOL outreach wave 1,,Day 3,pending,
Launch meme contest,,Day 3,pending,
Host first AMA,,Day 7,pending,
Publish weekly report,,Day 7,pending,
